SiteName,SiteAddress,SiteCity,PanelNum,PanelWatts,SensorNum,SensorTemp,SensorIrradiance,Date,Time
RiverBend,20987SmithRd.,FallsCity,2,130,40,71,65,2000-02-01,12:00
RiverBend,20987SmithRd.,FallsCity,3,147,50,68,61,2000-02-01,12:00
RiverBend,20987SmithRd.,FallsCity,3,147,60,70,54,2000-02-01,12:00
RiverBend,20987SmithRd.,FallsCity,4,138,70,69,60,2000-02-01,12:00
RiverBend,20987SmithRd.,FallsCity,4,138,80,69,67,2000-02-01,12:00
RiverBend,20987SmithRd.,FallsCity,1,30,10,56,20,2000-02-01,20:00
RiverBend,20987SmithRd.,FallsCity,1,30,20,54,19,2000-02-01,20:00
RiverBend,20987SmithRd.,FallsCity,2,25,30,57,19,2000-02-01,20:00
RiverBend,20987SmithRd.,FallsCity,2,25,40,53,21,2000-02-01,20:00
RiverBend,20987SmithRd.,FallsCity,3,29,50,55,18,2000-02-01,20:00
RiverBend,20987SmithRd.,FallsCity,3,29,60,53,21,2000-02-01,20:00
RiverBend,20987SmithRd.,FallsCity,4,32,70,57,25,2000-02-01,20:00
RiverBend,20987SmithRd.,FallsCity,4,32,80,56,24,2000-02-01,20:00
RiverBend,20987SmithRd.,FallsCity,1,0,10,55,3,2000-03-01,00:00
RiverBend,20987SmithRd.,FallsCity,1,0,20,56,4,2000-03-01,00:00
RiverBend,20987SmithRd.,FallsCity,2,0,30,54,5,2000-03-01,00:00
RiverBend,20987SmithRd.,FallsCity,2,0,40,55,3,2000-03-01,00:00
RiverBend,20987SmithRd.,FallsCity,3,0,50,55,5,2000-03-01,00:00
RiverBend,20987SmithRd.,FallsCity,3,0,60,55,3,2000-03-01,00:00
RiverBend,20987SmithRd.,FallsCity,4,0,70,55,3,2000-03-01,00:00
RiverBend,20987SmithRd.,FallsCity,4,0,80,55,3,2000-03-01,00:00
RiverBend,20987SmithRd.,FallsCity,1,50,10,63,30,2000-03-01,08:00
RiverBend,20987SmithRd.,FallsCity,1,50,20,65,32,2000-03-01,08:00
RiverBend,20987SmithRd.,FallsCity,2,55,30,64,32,2000-03-01,08:00
RiverBend,20987SmithRd.,FallsCity,2,55,40,64,29,2000-03-01,08:00
RiverBend,20987SmithRd.,FallsCity,3,58,50,64,32,2000-03-01,08:00
RiverBend,20987SmithRd.,FallsCity,3,58,60,63,35,2000-03-01,08:00
RiverBend,20987SmithRd.,FallsCity,4,57,70,64,33,2000-03-01,08:00
RiverBend,20987SmithRd.,FallsCity,4,57,80,64,38,2000-03-01,08:00
RiverBend,20987SmithRd.,FallsCity,1,121,10,60,55,2000-03-01,12:00
RiverBend,20987SmithRd.,FallsCity,1,121,20,61,56,2000-03-01,12:00
RiverBend,20987SmithRd.,FallsCity,2,136,30,60,49,2000-03-01,12:00
RiverBend,20987SmithRd.,FallsCity,2,136,40,60,60,2000-03-01,12:00
RiverBend,20987SmithRd.,FallsCity,3,143,50,61,57,2000-03-01,12:00
RiverBend,20987SmithRd.,FallsCity,3,143,60,60,58,2000-03-01,12:00
RiverBend,20987SmithRd.,FallsCity,4,137,70,61,60,2000-03-01,12:00
RiverBend,20987SmithRd.,FallsCity,4,137,80,60,49,2000-03-01,12:00
RiverBend,20987SmithRd.,FallsCity,1,30,10,55,19,2000-03-01,20:00
RiverBend,20987SmithRd.,FallsCity,1,30,20,53,18,2000-03-01,20:00
RiverBend,20987SmithRd.,FallsCity,2,28,30,56,18,2000-03-01,20:00
RiverBend,20987SmithRd.,FallsCity,2,28,40,55,20,2000-03-01,20:00
RiverBend,20987SmithRd.,FallsCity,3,29,50,54,19,2000-03-01,20:00
RiverBend,20987SmithRd.,FallsCity,3,29,60,55,31,2000-03-01,20:00
RiverBend,20987SmithRd.,FallsCity,4,30,70,56,22,2000-03-01,20:00
RiverBend,20987SmithRd.,FallsCity,4,30,80,55,21,2000-03-01,20:00
